id,period,norm_mass,material,posX,posY,posZ
0.0,103.1836565548017,0.921857485808747,0.0,-1.8021656491225353E10,2.2348208522407528E10,-2.7605009452865295E9
1.0,114.03005726416824,0.658109726331228,3.0,1.6871666841595852E10,-2.59614716385094E10,2.4327037637636623E9
2.0,77.44987462365549,0.9647825584014468,1.0,1.1450397991710316E10,-2.097335815287162E10,5.4974945903862946E7
3.0,112.23933388317302,0.45191697440421286,0.0,2.785700253511348E10,1.220975513850098E10,-2.1157024496615732E9
4.0,108.69801413280717,0.6688090146323661,2.0,1.818533730126684E10,-2.370367960419807E10,3.8123994594448036E8
5.0,126.7601884641051,0.40324631512022324,2.0,3.0985747026630997E10,1.0996594418089743E10,-3.185294902287393E9
6.0,119.2840641181808,0.3321987271233781,3.0,1.3982491751719542E10,2.8049064728775352E10,-4.61966116508901E9
7.0,109.52500870405464,0.9180283200082703,0.0,1.6016671727551071E10,-2.4977375758503605E10,2.0371737088954318E9
8.0,132.73659254247235,0.28531195861815106,2.0,3.1866609736755363E10,-1.1603884756334816E10,3.306643289027409E9
9.0,132.74364692527664,0.31670663788032116,2.0,2.5297294201342518E10,2.2091961817520782E10,4.357040785343081E9
10.0,116.73035847262993,0.9897046851052564,3.0,2.2160218703425163E10,2.2000305906483093E10,-1.3208025479922955E9
11.0,146.83689955747627,0.6078984072377888,2.0,3.238183685768297E9,-3.616418990299696E10,-2.1672334603443613E9
12.0,105.46660537956261,0.24628987500193136,0.0,2.370058258116033E10,1.678207710960926E10,-3.7199709855887203E9
13.0,94.2425975941937,0.698280187790013,1.0,-5.875730145808189E9,2.65589675936692E10,-1.8792498975546613E8
14.0,111.56183832476499,0.1623552634863296,2.0,4.023902877268941E9,-3.0061413506460205E10,-3.4151381522121396E9
15.0,75.3781981420913,0.8824863282957377,0.0,2.2704157700853737E10,5.286038279998194E9,-2.842114394346281E9
16.0,75.82371990818619,0.9368424932969824,0.0,-1.3464479767429186E10,1.9207314302393326E10,-2.349278221556147E7
17.0,60.83910391209843,0.5718229090399392,3.0,1.7811541252689466E9,-2.0191815436081764E10,-2.3570469281916994E8
18.0,109.88259659790852,0.3578895013034207,0.0,2.328025524709614E10,1.904175211332464E10,-6.335979978951215E7
19.0,140.97698220604553,0.9196179728313755,2.0,2.4696107416964508E10,-2.5704073353611267E10,-2.448351280583173E7
20.0,175.63361625950466,0.7453468998349672,2.0,-1.542226977311377E10,-3.8155430081277466E10,-1.6209861765086586E9
21.0,100.73047253945553,0.7061723429969177,0.0,-2.2073153611491253E10,1.7557772214810707E10,-2.5494926805067406E9
22.0,115.99451341837448,0.753598183129808,2.0,-1.5993823460710865E10,-2.6688770574488846E10,4.6222523862337315E8
23.0,103.21923580627305,0.46720427388710084,0.0,2.638094871912549E10,-1.135457843523429E10,5.115850473805583E8
24.0,95.55665913234368,0.663835204881507,0.0,-2.2767302159048256E10,-1.4836263527928997E10,2.968218666504162E9
25.0,139.3368795676222,0.43700401060469285,2.0,-3.3597543852802567E10,-1.0173215233280584E10,4.0562390227938766E9
26.0,120.511854466211,0.48933322494570997,2.0,-2.0630165279622337E10,-2.3868379830038822E10,-4.153092006999097E9
27.0,124.18934983611456,0.26122975598325726,2.0,-2.6108111000440132E10,-1.912582238130551E10,-6.107824141880811E8
28.0,133.8794948405668,0.3752637843393054,2.0,-3.4138310359703735E10,2.5708678839910717E9,8.838117950990051E8
29.0,104.33637800727583,0.9558279707554946,3.0,2.240883442903759E10,1.830402240226825E10,-8.889922290023041E8
30.0,121.69256165358324,0.9661778706440811,2.0,2.0487762446737946E10,2.489291434726302E10,4.3925887243104115E7
31.0,125.69898020628293,0.20658388710967351,2.0,2.076439467700853E10,-2.5572543737850063E10,-4.6483586490307134E8
32.0,100.91410985213393,0.438684398387988,0.0,2.8109741723328735E10,-2.7449619014308853E9,-1.5845593201171715E9
33.0,105.93542722459499,0.3731858737832716,0.0,7.848718107380411E9,-2.81346322223866E10,2.4656148169688487E9
34.0,114.26442833349911,0.735947100696741,2.0,2.0796031207763596E10,-2.3185028839711353E10,5.486055768458282E8
35.0,123.32158596493365,0.18501837666979068,2.0,7.843726509506989E9,3.1392522426051407E10,1.308865243448789E8
36.0,134.57805206278528,0.5871640333906354,2.0,1.4897869120671509E10,3.114889048393547E10,-1.5844541265186465E8
37.0,166.65639124294958,0.4479126708803114,3.0,1.2263334636627302E9,-3.9558102908813866E10,5.541291912721264E9
38.0,129.58993129777795,0.3547773665555388,3.0,3.0903428366084873E10,1.358391667806707E10,5.419230250783143E8
39.0,116.05291509920752,0.6970247154105619,0.0,-2.4483110316459587E10,-1.9435550588092274E10,-1.8498774514586294E8
40.0,132.3359080082554,0.37167532200726305,2.0,3.263738330979264E10,7.421492643140019E9,-5.557769974507316E9
41.0,79.71411165980021,0.5252307553941421,0.0,-1.76701865740148E10,-1.659882519658263E10,-9.281747661820892E8
42.0,93.73816865081933,0.912081777731988,0.0,-2.608552405412887E10,7.3640560527927E9,2.460939628538736E8
43.0,130.44800120032633,0.37479114872335906,2.0,-3.827554842473401E9,-3.3426794486238747E10,-8.114999520026216E7
44.0,103.96664490415702,0.7448868326116189,3.0,2.9067485322286045E10,-2.3177074835660343E9,1.8767937939076865E9
45.0,104.98578708967345,0.557436473253964,0.0,-3.4138920024308314E9,-2.861159176512263E10,-3.8314189636339545E9
46.0,136.94967227407483,0.1694870600712109,2.0,1.1599552832796751E10,-3.2911031328558807E10,2.7223037195080867E9
47.0,132.6840494857258,0.43505768616898577,2.0,3.2994717625702003E10,8.465614653074711E9,-1.3838017225614662E9
48.0,110.44377404498027,0.40326187045229145,2.0,-4.31488156734367E9,2.9504202007356155E10,-4.357446629261485E9
49.0,137.45372111734704,0.9084269401758879,2.0,-7.792843843967247E9,-3.4113457204285744E10,-1.7196144270931768E8
50.0,143.80178205585963,0.9508376996705485,2.0,3.554993998698444E10,-5.327122691213206E9,1.0775422242634982E8
51.0,174.39868710226057,0.8324280387943946,2.0,-2.71328042229881E10,3.0514539341040737E10,-2.0933156798823115E8
52.0,136.2746789846724,0.3452558269055989,2.0,3.221002043806447E10,1.296276783731098E10,-1.760320652641862E9
53.0,113.21434268075915,0.29942491185594755,2.0,-2.7783182542569267E10,1.234850268390263E10,5.114857887439723E9
54.0,108.01402978803398,0.8739067610480489,2.0,1.0137230581519293E10,2.763217878671243E10,4.125070423553385E9
55.0,125.79808695782582,0.4673478105596979,2.0,3.2380933442243454E10,-5.897217694333363E9,2.428577091673678E9
56.0,59.268898518457156,0.39953778903233683,0.0,-1.9830410607702652E10,-2.8821259619901133E9,1.0694408980625205E9
57.0,99.341724967464,0.9628819807886849,0.0,-2.6537138046263573E10,8.596326635071507E9,2.247595899853032E9
58.0,72.69655282727354,0.6645978362005736,0.0,2.0716088875637283E10,-9.64881967849554E9,1.8207570430107667E9
59.0,95.0284718115924,0.8577640596504575,0.0,8.50815302014978E9,-2.5874421000457977E10,-1.783604331309697E9
60.0,158.59149100742755,0.3766155356266635,2.0,-2.517326740078419E10,-2.9092762218348476E10,8.726653111845686E8
61.0,105.16095143091388,0.22774228789506823,0.0,2.603309171994876E10,1.2958291964318127E10,3.928971294819957E9
62.0,107.20521962632611,0.3344354913603258,0.0,1.8730043265659245E10,-2.2925673347857876E10,1.308924491827696E7
63.0,90.27103522409914,0.9540284045100237,3.0,-3.61535347954274E9,2.6153422733075752E10,-5.959213713801482E8
64.0,59.61028295214239,0.3623916973698379,0.0,-1.981604923546981E10,-2.0949836726298928E9,-1.6503914792440784E8
65.0,134.23647816553958,0.6925565269565426,2.0,-1.8803589698227467E10,-2.8668819515278206E10,-1.837609752444956E9
66.0,108.2517781251104,0.945693039432551,0.0,2.7633180290349392E10,-1.0737741305700634E10,8.475355615294856E8
67.0,129.4726216616274,0.5140835167243385,2.0,-1.6987534640034615E10,2.90426735157721E10,-1.654672929980212E9
68.0,136.41919563039633,0.19250386121059043,2.0,-1.2435708117190073E10,3.2175110250142174E10,1.4990952194789922E9
69.0,119.81511067845001,0.15252164562970277,2.0,3.17783466246042E10,-1.2081424248568974E9,8.838135697879499E8
70.0,125.89133128823893,0.5914783603448786,3.0,2.6536607419589916E10,-1.9521310933344864E10,1.0453691550496575E9
71.0,106.92871029164196,0.3925201229117802,0.0,1.0490509012838688E9,-2.9527533199076553E10,1.313259748784002E9
72.0,116.4545564773318,0.7043188440134336,2.0,2.3530840158151012E10,-2.0578431329815327E10,5.683086766511766E8
73.0,122.33803085578049,0.16186070833325555,2.0,3.1349966065564293E10,-7.898990158094034E9,7.287596979608343E8
74.0,89.11203020237977,0.675254616526646,0.0,-1.387168835737668E10,-2.1647393348764114E10,-3.2405936890228553E9
75.0,84.20890532976468,0.36641948210022957,0.0,-2.5345028514807648E10,-6.227565751379118E8,2.1034309606300664E9
76.0,111.81174997596436,0.4886899274537244,0.0,2.9144030435038345E10,-9.05839755419229E9,1.525106618763643E9
77.0,104.41138828361078,0.1154455798793569,0.0,2.222522307886901E10,-1.8366835608778946E10,4.2016786606179786E9
78.0,103.97106992075953,0.7379071735845072,3.0,2.9166461823942207E10,5.314432354051609E8,4.122479064050338E8
79.0,114.94691484572273,0.7062859152078559,2.0,-2.7005433130214676E10,1.5058160637636374E10,9.567556398930137E7
80.0,96.50087098906005,0.8837084637812379,0.0,-2.2201732757890724E10,-1.6246443642102964E10,-1.9035050308293219E9
81.0,60.92794971145296,0.8451705378169493,1.0,7.267369085777666E9,1.9094553692425346E10,1.0213850328139431E9
82.0,102.32772407222578,0.6952722587097532,0.0,2.0766573565994736E10,-1.96961710077089E10,1.9353308508454094E9
83.0,64.99869073366916,0.1169505377958394,0.0,-1.4121037210288147E10,1.5780539529372019E10,1.0001979529354466E9
84.0,88.94001248841461,0.8908874674599074,0.0,2.0615080720774227E10,1.5945317751586956E10,-1.5111029655287454E9
85.0,150.03980447305085,0.11518494028482885,2.0,-3.5260889763000305E10,1.0603969902621756E10,-4.920758662358844E9
86.0,127.29047880764787,0.22536842982580094,3.0,-3.2753514478138817E10,-4.975538781255899E9,-6.522833620843694E8
87.0,156.7446397221038,0.4743426462022263,2.0,-3.570742077467166E10,1.3488470351630795E10,4.461680470041933E8
88.0,138.34464512097585,0.5607261091966249,3.0,-3.456705490549971E10,5.790924854700699E9,4.734107871326932E9
89.0,113.84388557195568,0.2920546751076908,0.0,2.347189864098619E10,-1.939289706848286E10,3.588797485836412E9
90.0,91.86987327451773,0.8242362718098697,0.0,1.827455136089447E10,1.956690094398021E10,7886582.525330004
91.0,148.34712721186588,0.9555430630878535,2.0,-3.437238533425836E10,1.1894483841426529E10,-6.350061044838689E9
92.0,124.97351297877837,0.5317974988106853,3.0,4.902876383482868E9,-3.2313911912523808E10,-1.2307707072507946E9
93.0,95.40622395747182,0.7555007104127085,0.0,-2.6486967558123337E10,6.535747203417107E9,-3.5625627632788525E9
94.0,77.83028766094911,0.8052039595783954,0.0,1.4920287982377815E9,-2.365879748598455E10,-3.287261507464565E7
95.0,125.99572425226589,0.6315360817125916,2.0,-3.079279750505635E10,-1.143305518356806E10,-3.0734300381462865E9
96.0,84.93529268879335,0.3249477233405583,0.0,1.5456194998361488E10,1.9595056030450092E10,3.738166282559913E9
97.0,70.61898287506402,0.2141814861203668,0.0,-2.2380031898669907E10,-1.9202757691878023E9,1.8716029689924214E9
98.0,133.2577652011132,0.9122712859809684,2.0,-1.2318655436163029E10,3.1949925091138275E10,4.2736261535912764E8
99.0,86.6298186197322,0.6756098168825293,3.0,1.5665057776568876E10,2.028827072731996E10,-2.995437678186438E9
100.0,109.74026612996785,0.9053507641818241,2.0,-1.0164854469275719E10,2.7986090045695076E10,2.244593902337185E9
101.0,114.78005595435418,0.45714683642569764,2.0,3.0745935395611137E10,-9.688704621186676E8,-2.019364998749464E8
102.0,136.76571211489986,0.388121451699486,2.0,-3.418274124644346E10,3.532741237031314E9,5.474600141763321E9
103.0,125.58558327160586,0.7847800259054487,3.0,1.6986351571309734E10,2.8064471648132294E10,3.189905059000764E9
104.0,115.206122428298,0.7592007117263025,2.0,3.079946672711881E10,3.5477672910237675E9,-1.6358414677416112E9
105.0,93.48276422156466,0.34890900403571523,0.0,-2.7013220909573036E10,9.038652014453659E8,9.085784967771776E8
106.0,80.57275823316994,0.29863595320582403,0.0,1.1477389331813318E10,-2.155100266166958E10,-2.756881186599719E8
